Video_ID,Video_Title,Category,Region,Sound_Used,Followers,Following,Views,Likes,Comments,Shares,Duration,Hashtags_Count,Hashtags,Upload_Hour,Upload_Day,Category_TrendScore,Engagement_Rate,Viral
75,Dance video #74,Dance,US,Trending,21498,85,25340,2193,178,44,130,4,#music #beauty #viral #tiktok,15,Sunday,0.92,0.095,1
76,Sports video #75,Sports,US,Original,4485,280,10155,662,63,44,82,6,#comedy #tutorial #music #beauty #viral #fun,20,Saturday,0.68,0.076,0
77,Dance video #76,Dance,Europe,Original,221842,76,284122,18791,1656,511,13,4,#viral #music #comedy #tutorial,6,Sunday,0.92,0.074,0
78,Dance video #77,Dance,Europe,Trending,35191,246,92048,6279,414,310,18,7,#beauty #fun #tiktok #viral #music #trend #tutorial,21,Sunday,0.92,0.076,0
79,Fashion video #78,Fashion,LATAM,Trending,2331,61,47542,4557,312,114,162,3,#tutorial #music #beauty,8,Friday,0.77,0.105,1
80,Gaming video #79,Gaming,Europe,Trending,9500,147,10516,879,62,61,37,5,#tutorial #dance #tiktok #comedy #music,15,Saturday,0.7,0.095,1
81,Gaming video #80,Gaming,Asia,Trending,28001,201,40692,4418,348,268,106,4,#fun #music #dance #tutorial,7,Wednesday,0.7,0.124,1
82,Music video #81,Music,Asia,Trending,18636,171,49845,5132,246,162,167,5,#fun #dance #music #beauty #tutorial,10,Saturday,0.8,0.111,1
83,Dance video #82,Dance,US,Trending,17655,179,26168,2467,234,64,83,6,#fun #tutorial #dance #music #comedy #beauty,18,Tuesday,0.92,0.106,1
84,Fashion video #83,Fashion,Asia,Trending,15321,176,4995,595,46,27,31,6,#tutorial #fun #fyp #dance #tiktok #comedy,9,Wednesday,0.77,0.134,1
85,Tutorial video #84,Tutorial,Europe,Trending,14056,457,14025,1680,100,79,67,3,#tutorial #fun #trend,18,Monday,0.65,0.133,1
86,Comedy video #85,Comedy,Asia,Original,28107,84,65560,5262,505,237,36,3,#fyp #trend #tiktok,21,Wednesday,0.88,0.092,1
87,Tutorial video #86,Tutorial,Europe,Trending,54062,120,49651,4438,279,233,172,2,#fyp #dance,14,Sunday,0.65,0.1,1
88,Comedy video #87,Comedy,US,Trending,112029,12,45859,5398,232,257,102,3,#beauty #tutorial #fun,6,Tuesday,0.88,0.128,1
89,Dance video #88,Dance,Europe,Original,4980,203,30759,2518,77,61,126,6,#viral #trend #music #beauty #fun #dance,21,Wednesday,0.92,0.086,1
90,Gaming video #89,Gaming,Europe,Original,48329,227,65174,4362,432,124,145,1,#trend,5,Wednesday,0.7,0.075,0
91,Sports video #90,Sports,Asia,Original,9169,154,44201,5234,230,322,170,6,#tiktok #viral #trend #fyp #tutorial #fun,12,Friday,0.68,0.131,1
92,Lifestyle video #91,Lifestyle,US,Original,120776,591,142957,10544,917,261,17,2,#music #comedy,8,Sunday,0.6,0.082,1
93,Lifestyle video #92,Lifestyle,Europe,Original,32903,1316,14612,1360,72,65,21,6,#beauty #fyp #tutorial #fun #music #dance,9,Thursday,0.6,0.102,1
94,Food video #93,Food,LATAM,Trending,5935,491,29706,1943,115,62,68,1,#beauty,23,Monday,0.72,0.071,0
95,Lifestyle video #94,Lifestyle,US,Remix,32323,416,23845,2158,130,137,29,6,#beauty #fun #comedy #tutorial #viral #tiktok,11,Thursday,0.6,0.102,1
96,Sports video #95,Sports,LATAM,Remix,42290,30,27752,1845,155,81,21,5,#fyp #dance #tiktok #fun #viral,21,Thursday,0.68,0.075,0
97,Music video #96,Music,Asia,Trending,10897,128,36046,2708,193,80,69,6,#trend #viral #tiktok #comedy #dance #tutorial,8,Friday,0.8,0.083,1
98,Gaming video #97,Gaming,LATAM,Trending,66684,73,45738,3702,196,173,54,4,#fun #comedy #fyp #music,23,Friday,0.7,0.089,1
99,Tutorial video #98,Tutorial,US,Trending,6023,32,15135,1376,124,44,174,5,#comedy #beauty #tiktok #tutorial #fun,10,Friday,0.65,0.102,1
100,Dance video #99,Dance,US,Trending,19323,52,26611,1606,159,125,78,3,#tutorial #music #comedy,20,Friday,0.92,0.071,0
101,Dance video #100,Dance,LATAM,Original,59755,8,33556,2014,192,128,47,7,#trend #comedy #fun #fyp #beauty #dance #tutorial,17,Saturday,0.92,0.07,0
102,Comedy video #101,Comedy,US,Original,49276,43,58389,6453,540,172,167,2,#dance #music,22,Tuesday,0.88,0.123,1
103,Food video #102,Food,LATAM,Original,36531,399,46743,4799,174,179,72,2,#fun #beauty,8,Sunday,0.72,0.11,1
104,Dance video #103,Dance,Asia,Original,54256,129,78938,5587,421,221,32,1,#trend,12,Sunday,0.92,0.079,0
105,Music video #104,Music,Asia,Trending,201227,451,122342,10086,570,724,111,3,#comedy #beauty #dance,16,Thursday,0.8,0.093,1
106,Sports video #105,Sports,Europe,Trending,5488,28,27966,2989,239,231,53,7,#fun #viral #fyp #trend #dance #comedy #beauty,4,Wednesday,0.68,0.124,1
107,Dance video #106,Dance,US,Trending,17108,219,38650,2206,141,78,24,3,#beauty #tutorial #music,10,Friday,0.92,0.063,0
108,Beauty video #107,Beauty,US,Original,55177,30,35054,3424,146,176,86,2,#viral #dance,17,Friday,0.75,0.107,1
109,Tutorial video #108,Tutorial,US,Trending,21598,257,14654,735,54,37,138,6,#dance #music #beauty #tiktok #trend #fun,6,Wednesday,0.65,0.056,0
110,Music video #109,Music,Asia,Original,46154,115,40575,4365,260,262,163,1,#beauty,23,Tuesday,0.8,0.12,1
111,Dance video #110,Dance,Asia,Trending,37211,71,21385,2030,147,107,128,1,#tutorial,1,Friday,0.92,0.107,1
112,Comedy video #111,Comedy,Europe,Trending,9860,764,45311,2672,99,169,176,5,#viral #trend #fyp #tutorial #comedy,21,Thursday,0.88,0.065,0
113,Music video #112,Music,US,Trending,7326,72,11756,645,48,23,22,7,#fyp #fun #tiktok #viral #music #trend #dance,8,Monday,0.8,0.061,0
114,Music video #113,Music,Asia,Trending,4916,39,31137,3644,154,223,39,2,#tutorial #fyp,2,Thursday,0.8,0.129,1
115,Comedy video #114,Comedy,Europe,Trending,10556,510,38211,4516,141,290,12,4,#viral #tutorial #beauty #comedy,11,Thursday,0.88,0.129,1
116,Food video #115,Food,US,Original,49676,74,20555,1463,70,60,25,5,#comedy #dance #fyp #tutorial #viral,0,Monday,0.72,0.077,0
117,Dance video #116,Dance,LATAM,Trending,7307,17,11382,1359,121,44,64,2,#trend #fyp,3,Wednesday,0.92,0.134,1
118,Fashion video #117,Fashion,US,Original,38888,270,21609,1418,137,77,82,6,#comedy #music #tiktok #dance #fun #trend,19,Thursday,0.77,0.076,0
119,Fashion video #118,Fashion,Europe,Trending,7915,200,24429,1471,81,35,134,6,#viral #comedy #tutorial #dance #music #beauty,15,Wednesday,0.77,0.065,0
120,Dance video #119,Dance,US,Remix,20527,241,36262,3439,155,196,87,7,#fun #fyp #dance #tiktok #tutorial #viral #beauty,12,Friday,0.92,0.105,1
121,Tutorial video #120,Tutorial,US,Trending,11062,139,45936,2754,106,105,168,2,#beauty #trend,10,Saturday,0.65,0.065,0
122,Dance video #121,Dance,Asia,Trending,4749,369,43468,4871,299,154,133,4,#trend #tutorial #dance #beauty,19,Friday,0.92,0.122,1
123,Gaming video #122,Gaming,Europe,Original,12375,11,13664,1275,67,89,88,6,#music #trend #tiktok #dance #beauty #tutorial,21,Saturday,0.7,0.105,1
124,Music video #123,Music,US,Trending,5497,69,25345,1492,135,51,158,7,#beauty #tutorial #dance #trend #fyp #viral #tiktok,10,Monday,0.8,0.066,0
125,Tutorial video #124,Tutorial,Asia,Original,36119,132,51762,3510,311,78,26,1,#beauty,16,Saturday,0.65,0.075,0
126,Fashion video #125,Fashion,Europe,Original,29043,330,31111,3707,226,84,96,1,#tiktok,14,Friday,0.77,0.129,1
127,Dance video #126,Dance,Asia,Original,1931,178,29138,2297,157,160,148,4,#dance #beauty #fun #tiktok,13,Saturday,0.92,0.09,1
128,Dance video #127,Dance,Europe,Trending,26213,189,13817,937,45,22,82,1,#viral,7,Friday,0.92,0.073,0
129,Fashion video #128,Fashion,Europe,Original,20474,51,26820,2498,102,56,22,6,#tiktok #dance #beauty #trend #tutorial #fun,1,Wednesday,0.77,0.099,1
130,Dance video #129,Dance,Europe,Trending,2525,393,34453,1753,174,105,167,6,#dance #fyp #beauty #music #trend #fun,17,Thursday,0.92,0.059,0
131,Beauty video #130,Beauty,LATAM,Trending,6365,271,43719,2728,185,215,113,6,#tiktok #dance #music #fun #viral #tutorial,7,Friday,0.75,0.072,0
132,Fashion video #131,Fashion,US,Trending,49646,264,79222,8165,669,463,160,3,#music #beauty #viral,14,Tuesday,0.77,0.117,1
133,Dance video #132,Dance,US,Trending,18423,410,34703,2410,105,175,153,2,#tutorial #fyp,7,Friday,0.92,0.078,0
134,Tutorial video #133,Tutorial,US,Original,103210,381,21846,2376,209,49,146,5,#music #fun #beauty #viral #dance,15,Saturday,0.65,0.121,1
135,Food video #134,Food,Asia,Original,19809,503,19313,2163,154,94,141,5,#fyp #fun #tutorial #viral #tiktok,18,Saturday,0.72,0.125,1
136,Gaming video #135,Gaming,Asia,Trending,70724,83,79409,4330,305,232,128,1,#comedy,19,Friday,0.7,0.061,0
137,Music video #136,Music,Asia,Original,47971,85,36916,4383,195,304,119,7,#dance #fyp #trend #music #tutorial #comedy #viral,16,Saturday,0.8,0.132,1
138,Sports video #137,Sports,Europe,Trending,11633,39,22357,1389,103,69,56,3,#fun #trend #dance,16,Saturday,0.68,0.07,0
139,Comedy video #138,Comedy,Asia,Remix,29845,37,7397,673,53,50,12,2,#trend #music,9,Saturday,0.88,0.105,1
140,Food video #139,Food,US,Original,11033,16,49709,4681,156,347,158,1,#fun,19,Wednesday,0.72,0.104,1
141,Fashion video #140,Fashion,Asia,Trending,13845,104,38481,2684,129,93,45,1,#trend,19,Monday,0.77,0.076,0
142,Fashion video #141,Fashion,US,Trending,97996,113,41785,4740,188,246,54,1,#viral,11,Saturday,0.77,0.124,1
143,Gaming video #142,Gaming,US,Original,28200,161,46951,4399,284,346,158,7,#viral #trend #music #comedy #fyp #fun #tiktok,14,Monday,0.7,0.107,1
144,Comedy video #143,Comedy,Asia,Trending,29943,130,26470,1788,160,95,178,1,#fyp,11,Wednesday,0.88,0.077,0
145,Sports video #144,Sports,US,Original,26276,102,18921,1825,82,47,107,2,#music #tutorial,16,Saturday,0.68,0.103,1
146,Lifestyle video #145,Lifestyle,Europe,Original,16280,185,19708,1212,64,79,72,3,#fyp #trend #dance,9,Wednesday,0.6,0.069,0
147,Sports video #146,Sports,US,Original,15360,247,17280,977,52,36,37,2,#dance #music,8,Saturday,0.68,0.062,0
148,Gaming video #147,Gaming,Asia,Trending,9765,120,34243,3527,174,136,20,3,#fun #fyp #tiktok,4,Thursday,0.7,0.112,1
149,Tutorial video #148,Tutorial,US,Original,166015,23,269538,16662,1091,931,89,7,#music #tutorial #fun #comedy #tiktok #trend #viral,1,Friday,0.65,0.069,0
150,Dance video #149,Dance,Europe,Original,60083,79,127316,9214,913,452,28,6,#fyp #trend #beauty #fun #dance #tiktok,13,Saturday,0.92,0.083,1
151,Dance video #150,Dance,Asia,Trending,32528,68,25994,3070,164,116,34,1,#fyp,2,Sunday,0.92,0.129,1
152,Fashion video #151,Fashion,US,Original,29048,308,36826,3676,322,95,140,5,#fun #beauty #dance #tiktok #viral,8,Sunday,0.77,0.111,1
153,Comedy video #152,Comedy,US,Trending,47268,521,61444,4164,133,267,26,6,#trend #beauty #tiktok #comedy #music #tutorial,15,Thursday,0.88,0.074,0
154,Dance video #153,Dance,US,Trending,35226,54,34209,2938,150,96,96,7,#dance #fun #comedy #viral #beauty #tiktok #trend,0,Friday,0.92,0.093,1
155,Dance video #154,Dance,US,Original,31276,242,56604,5487,379,146,86,4,#fun #music #dance #tiktok,2,Sunday,0.92,0.106,1
156,Sports video #155,Sports,Europe,Original,28365,139,10155,1194,46,74,93,3,#tutorial #viral #beauty,13,Friday,0.68,0.129,1
157,Fashion video #156,Fashion,Asia,Original,22899,173,18250,1191,45,28,133,3,#tiktok #music #viral,8,Saturday,0.77,0.069,0
158,Beauty video #157,Beauty,US,Trending,46416,61,85885,7860,726,244,77,4,#trend #tutorial #viral #tiktok,8,Wednesday,0.75,0.103,1
159,Dance video #158,Dance,US,Original,23624,474,11832,1026,33,73,110,4,#beauty #comedy #fun #music,4,Monday,0.92,0.096,1
160,Dance video #159,Dance,LATAM,Trending,7183,132,25370,2059,175,120,61,2,#comedy #fun,18,Friday,0.92,0.093,1
161,Tutorial video #160,Tutorial,US,Trending,17896,25,29369,2212,139,50,81,1,#dance,8,Saturday,0.65,0.082,1
162,Comedy video #161,Comedy,US,Remix,5397,136,44056,2226,100,49,93,5,#tiktok #fyp #tutorial #beauty #viral,2,Wednesday,0.88,0.054,0
163,Dance video #162,Dance,US,Original,3377,166,34623,3019,276,164,97,1,#fun,8,Friday,0.92,0.1,1
164,Dance video #163,Dance,Asia,Trending,96816,73,81504,8760,263,509,118,5,#tiktok #music #tutorial #trend #beauty,7,Thursday,0.92,0.117,1
165,Dance video #164,Dance,US,Trending,10847,209,11651,1030,95,45,173,7,#music #fyp #fun #trend #beauty #dance #tiktok,0,Friday,0.92,0.1,1
166,Beauty video #165,Beauty,Asia,Trending,49463,201,78079,4747,199,276,151,2,#beauty #tutorial,12,Friday,0.75,0.067,0
167,Food video #166,Food,Europe,Original,38513,371,39244,2300,158,93,74,3,#dance #fyp #viral,11,Sunday,0.72,0.065,0
168,Food video #167,Food,Asia,Original,138720,70,74558,8020,722,601,131,1,#music,22,Friday,0.72,0.125,1
169,Gaming video #168,Gaming,US,Trending,107543,323,51802,2752,229,211,43,7,#viral #tutorial #comedy #fun #tiktok #trend #beauty,0,Thursday,0.7,0.062,0
170,Beauty video #169,Beauty,Europe,Trending,78719,90,92417,10066,710,539,122,1,#viral,10,Monday,0.75,0.122,1
171,Dance video #170,Dance,US,Remix,22650,225,7591,599,34,23,163,4,#dance #viral #tiktok #fyp,12,Wednesday,0.92,0.086,1
172,Comedy video #171,Comedy,Europe,Trending,5411,34,19800,1112,80,32,143,7,#music #fun #comedy #trend #fyp #tiktok #viral,2,Saturday,0.88,0.062,0
173,Dance video #172,Dance,LATAM,Original,306485,24,394376,42544,3387,1303,62,6,#viral #dance #tiktok #tutorial #fun #music,12,Sunday,0.92,0.12,1
174,Sports video #173,Sports,Asia,Trending,6363,175,40420,4832,442,277,150,5,#fun #trend #comedy #tutorial #viral,23,Saturday,0.68,0.137,1
175,Music video #174,Music,Asia,Trending,21372,84,25842,1931,119,43,156,6,#tiktok #comedy #trend #beauty #music #fyp,3,Thursday,0.8,0.081,1
176,Food video #175,Food,Europe,Trending,13048,142,39635,4075,262,155,124,1,#fun,5,Friday,0.72,0.113,1
177,Sports video #176,Sports,Europe,Trending,46262,179,39283,3541,343,113,91,2,#tiktok #viral,18,Thursday,0.68,0.102,1
178,Dance video #177,Dance,LATAM,Trending,19239,404,37188,1938,176,100,40,7,#dance #tiktok #viral #trend #comedy #music #tutorial,12,Saturday,0.92,0.06,0
179,Music video #178,Music,Asia,Original,27218,833,30373,1523,50,61,28,3,#trend #fun #music,14,Wednesday,0.8,0.054,0
180,Music video #179,Music,US,Trending,35127,241,14101,1418,70,86,44,4,#tiktok #dance #fyp #beauty,0,Sunday,0.8,0.112,1
181,Dance video #180,Dance,US,Trending,123638,290,94129,5450,484,188,92,5,#beauty #fun #viral #music #tutorial,12,Friday,0.92,0.065,0
182,Sports video #181,Sports,US,Original,33741,105,38218,3471,308,183,129,7,#viral #fun #fyp #trend #tutorial #dance #comedy,2,Friday,0.68,0.104,1
183,Comedy video #182,Comedy,US,Trending,10919,266,11821,650,50,22,41,7,#tutorial #fyp #dance #viral #beauty #comedy #tiktok,22,Thursday,0.88,0.061,0
184,Tutorial video #183,Tutorial,Asia,Original,6935,158,38713,4168,335,151,21,2,#beauty #comedy,22,Friday,0.65,0.12,1
185,Gaming video #184,Gaming,US,Trending,44085,732,16275,1657,86,43,97,7,#beauty #tutorial #music #trend #fyp #tiktok #fun,16,Saturday,0.7,0.11,1
186,Gaming video #185,Gaming,US,Original,28640,180,44408,4356,281,188,121,3,#fyp #viral #tiktok,12,Wednesday,0.7,0.109,1
187,Music video #186,Music,Asia,Trending,57837,510,100308,6903,436,400,20,4,#comedy #beauty #tutorial #music,0,Tuesday,0.8,0.077,0
188,Fashion video #187,Fashion,US,Trending,20475,451,13975,1238,73,78,114,2,#beauty #tiktok,15,Thursday,0.77,0.099,1
189,Gaming video #188,Gaming,LATAM,Original,42114,316,48377,4914,482,113,146,2,#trend #beauty,12,Friday,0.7,0.114,1
190,Tutorial video #189,Tutorial,Europe,Trending,24673,108,12298,1207,56,90,63,6,#music #viral #fun #tutorial #trend #dance,16,Monday,0.65,0.11,1
